Metric,Category,Clean Baseline,Base Model (Attacked),Updated Model (Ours),Absolute Diff,Relative Improvement (%),Higher is Better,Outcome,Attack,NoiseRate
Recall@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,bandwagon,0.05
nDCG@10,Ranking Accuracy,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,bandwagon,0.05
RMSE-PC (Calibration Error),Popularity Calibration,0.05769702550578303,0.297261495203696,0.057953237529358936,-0.23930825767433705,80.50429051039828,False,🟢 WIN (+),bandwagon,0.05
MRMC (Rank Miscalibration),Popularity Calibration,0.16860196201011068,0.6175980602735359,0.18041188433066205,-0.4371861759428739,70.78813941696043,False,🟢 WIN (+),bandwagon,0.05
APLT@10 (Long-Tail %),Fairness & Discovery,0.8433333333333334,0.5,0.8453333333333333,0.34533333333333327,69.06666666666665,True,🟢 WIN (+),bandwagon,0.05
LTC@10 (Catalog Coverage),Fairness & Discovery,0.005570117955439056,0.003601833660772757,0.00655307994757536,0.002951246286802603,81.93732872631955,True,🟢 WIN (+),bandwagon,0.05
Entropy (Exposure Spread),Fairness & Discovery,0.8755328140588582,0.8646442241920735,0.846445988384575,-0.018198235807498575,-2.1047079594503817,True,🔴 LOSS (-),bandwagon,0.05
Novelty (Self-Information bits),Fairness & Discovery,10.76032554196236,10.40709687370135,10.934701234170552,0.5276043604692013,5.069659357187818,True,🟢 WIN (+),bandwagon,0.05
GKPI (Holistic Harmonic Metric),Overall Performance,0.0,0.0,0.0,0.0,0.0,True,⚪ PAR,bandwagon,0.05
ΔGKPI (Attack Degradation %),Adversarial Robustness,,0.0,0.0,0.0,0.0,False,⚪ PAR,bandwagon,0.05
CSS (Calibration Stability Score),Adversarial Robustness,,0.23956446969791295,0.00025621202357590384,-0.23930825767433705,99.89305090863475,False,🟢 WIN (+),bandwagon,0.05
Denoising Detection F1,Adversarial Robustness,,0.9992052566894408,0.9751929782892677,-0.02401227840017317,-2.403137717642766,True,🔴 LOSS (-),bandwagon,0.05
